strategy,strategy_name,batch_size,total_latency_ms_mean,total_latency_ms_std,total_latency_ms_median,total_latency_ms_min,total_latency_ms_max,cache_hit_rate_mean,cache_hit_rate_std,memory_usage_mb_mean,memory_usage_mb_std,expert_loads_mean,expert_loads_std,cache_misses_mean,cache_misses_std,total_latency_ms_p95,total_latency_ms_p99
A,On-Demand,1,2039.1011,32.5938,2035.6718,1996.6753,2117.6579,0.9154,0.0022,900.6,14.7173,1379.4,36.8305,1379.4,36.8305,2086.8221534871,2111.4907359379717
A,On-Demand,2,2015.7081,43.1246,2009.9696,1956.8614,2103.401,0.9171,0.003,883.5,0.0,1351.6,48.5139,1351.6,48.5139,2080.239900356735,2098.768761044514
A,On-Demand,4,2025.3958,32.6623,2025.1535,1975.9622,2080.5269,0.9164,0.0022,892.05,13.7668,1362.6,36.558,1362.6,36.558,2074.2022009683747,2079.261965400509
A,On-Demand,8,2006.2121,44.7662,2017.0497,1930.1501,2058.4662,0.9176,0.0031,889.2,12.0167,1341.9,50.9149,1341.9,50.9149,2054.479195506184,2057.6688291928467
A,On-Demand,16,2010.2258,39.0274,2004.6645,1961.5153,2080.0025,0.9175,0.0027,886.35,9.0125,1345.1,44.044,1345.1,44.044,2074.580758773348,2078.918125428405
B,Oracle,1,821.4789,1.226,820.9294,820.1556,823.7233,0.9994,0.0001,1824.0,0.0,2.4,1.5055,2.4,1.5055,823.6391310049033,823.7064840639887
B,Oracle,2,820.8802,1.0295,820.7761,819.2268,822.8557,0.9994,0.0001,1824.0,0.0,2.2,1.1353,2.2,1.1353,822.5117741094859,822.7869337395304
B,Oracle,4,821.3382,1.5728,821.4164,818.6223,824.0314,0.9994,0.0001,1824.0,0.0,2.4,1.5055,2.4,1.5055,823.3288026080264,823.8908878131145
B,Oracle,8,821.6858,1.6407,822.1711,818.4859,823.4584,0.9993,0.0001,1824.0,0.0,2.7,1.9465,2.7,1.9465,823.3908484478853,823.4449002635661
B,Oracle,16,821.2629,1.0495,820.8318,820.3927,823.8501,0.9994,0.0001,1824.0,0.0,2.6,1.3499,2.6,1.3499,823.0620152514807,823.6925173520092
C,Multi-Look,1,1378.7795,16.4827,1378.3374,1348.1143,1409.0398,0.9609,0.0011,1231.2,49.9089,632.8,18.5939,632.8,18.5939,1403.0149755745485,1407.8348746710892
C,Multi-Look,2,1327.1248,24.7495,1323.4416,1288.7539,1374.4897,0.9645,0.0017,1234.05,38.1186,574.3,27.729,574.3,27.729,1364.0164312150355,1372.3950588968978
C,Multi-Look,4,1284.1421,18.1047,1287.5571,1243.5069,1301.7078,0.9675,0.0012,1328.1,24.0333,525.3,20.0613,525.3,20.0613,1301.017885343161,1301.5698446714928
C,Multi-Look,8,1439.2906,23.0517,1435.5313,1413.9161,1488.3995,0.9568,0.0016,1159.95,33.0458,700.2,26.4062,700.2,26.4062,1476.9818103213986,1486.1159698595538
C,Multi-Look,16,1313.6814,21.5658,1314.8778,1269.979,1357.5087,0.9654,0.0015,1313.85,41.3004,559.0,24.2899,559.0,24.2899,1341.8132906372284,1354.3696115145106
D,Top-K,1,1337.1433,78.6692,1351.9932,1124.473,1391.1991,0.9638,0.0054,1154.25,83.0911,584.8,89.2709,584.8,89.2709,1390.670108864159,1391.0933344827615
D,Top-K,2,1340.1636,125.3776,1381.6168,989.0057,1399.8405,0.9635,0.0087,1194.15,174.3709,589.6,141.7934,589.6,141.7934,1398.9740667277,1399.6672058744152
D,Top-K,4,1344.4317,129.5621,1382.3199,979.7716,1414.3174,0.9633,0.0089,1197.0,154.9403,593.5,146.204,593.5,146.204,1410.3039429494097,1413.5147117334252
D,Top-K,8,1356.3441,73.1846,1383.2589,1154.6223,1397.8488,0.9625,0.005,1131.45,83.9555,606.9,82.717,606.9,82.717,1395.991736274794,1397.4773715607328
D,Top-K,16,1345.6949,93.3671,1372.8948,1084.3814,1404.5136,0.9633,0.0064,1157.1,110.1345,594.1,105.7213,594.1,105.7213,1399.7375671214222,1403.5583795576265
E,Intelligent,1,1258.3362,60.2221,1256.0499,1116.4051,1341.9067,0.9692,0.0042,1487.7,59.7821,496.2,68.6663,496.2,68.6663,1323.5688309678637,1338.2391596624525
E,Intelligent,2,1256.2595,59.8768,1254.4689,1122.4711,1354.0433,0.9694,0.0041,1484.85,63.6571,493.7,67.9363,493.7,67.9363,1329.9674628913858,1349.22809835669
E,Intelligent,4,1243.9101,92.1338,1251.4772,1034.5742,1397.9303,0.9702,0.0063,1544.7,101.2541,480.5,103.4647,480.5,103.4647,1358.24737780003,1389.9936881584613
E,Intelligent,8,1219.7069,67.4222,1244.9458,1066.3496,1286.0687,0.9719,0.0046,1530.45,69.8751,452.8,76.0172,452.8,76.0172,1278.7306475299931,1284.6010978389327
E,Intelligent,16,1239.8093,92.1547,1231.9619,1059.4029,1388.1213,0.9705,0.0063,1513.35,103.5892,474.9,103.2176,474.9,103.2176,1357.034225078248,1381.9038528999781
