strategy,strategy_name,batch_size,inference_latency_ms_mean,inference_latency_ms_std,inference_latency_ms_median,inference_latency_ms_min,inference_latency_ms_max,inference_latency_ms_p95,inference_latency_ms_p99,memory_usage_mb_mean,memory_usage_mb_std,cache_hit_rate_mean,cache_hit_rate_std,prefetch_accuracy_mean,prefetch_accuracy_std,total_experts_loaded_mean,total_experts_loaded_std,cache_misses_mean,cache_misses_std
A,On-Demand,1,2281.472,0.0,2281.472,2281.472,2281.472,2281.472,2281.472,28.0,0.0,0.0,0.0,0.0,0.0,6142.0,0.0,6142.0,0.0
A,On-Demand,2,4562.944,0.0,4562.944,4562.944,4562.944,4562.944,4562.944,28.0,0.0,0.0,0.0,0.0,0.0,6142.0,0.0,6142.0,0.0
A,On-Demand,4,9125.888,0.0,9125.888,9125.888,9125.888,9125.888,9125.888,28.0,0.0,0.0,0.0,0.0,0.0,6142.0,0.0,6142.0,0.0
A,On-Demand,8,18251.776,0.0,18251.776,18251.776,18251.776,18251.776,18251.776,28.0,0.0,0.0,0.0,0.0,0.0,6142.0,0.0,6142.0,0.0
A,On-Demand,16,36503.552,0.0,36503.552,36503.552,36503.552,36503.552,36503.552,28.0,0.0,0.0,0.0,0.0,0.0,6142.0,0.0,6142.0,0.0
B,Oracle,1,143.939,0.0,143.939,143.939,143.939,143.939,143.939,3584.0,0.0,0.998,0.0,0.023,0.0,138.0,0.0,11.0,0.0
B,Oracle,2,287.878,0.0,287.878,287.878,287.878,287.878,287.878,3584.0,0.0,0.998,0.0,0.023,0.0,138.0,0.0,11.0,0.0
B,Oracle,4,575.756,0.0,575.756,575.756,575.756,575.756,575.756,3584.0,0.0,0.998,0.0,0.023,0.0,138.0,0.0,11.0,0.0
B,Oracle,8,1151.512,0.0,1151.512,1151.512,1151.512,1151.512,1151.512,3584.0,0.0,0.998,0.0,0.023,0.0,138.0,0.0,11.0,0.0
B,Oracle,16,2303.024,0.0,2303.024,2303.024,2303.024,2303.024,2303.024,3584.0,0.0,0.998,0.0,0.023,0.0,138.0,0.0,11.0,0.0
C,Multi-Look,1,215.105,11.231,215.5,192.412,236.413,230.583,235.247,3584.0,0.0,0.99,0.001,0.0,0.0,187.9,7.4,63.6,8.03
C,Multi-Look,2,415.496,17.103,413.353,391.088,451.518,440.399,449.294,3584.0,0.0,0.991,0.001,0.0,0.0,182.6,6.381,58.3,6.255
C,Multi-Look,4,873.023,62.065,864.088,778.856,956.224,954.285,955.836,3584.0,0.0,0.99,0.002,0.0,0.0,186.5,9.778,61.9,9.597
C,Multi-Look,8,1667.904,80.178,1694.768,1534.424,1777.968,1761.995,1774.773,3584.0,0.0,0.991,0.001,0.0,0.0,183.2,7.193,58.2,7.099
C,Multi-Look,16,3496.118,222.727,3561.392,3070.992,3754.128,3735.912,3750.485,3584.0,0.0,0.989,0.002,0.0,0.0,189.6,10.793,65.4,10.606
D,Top-K,1,205.686,11.222,202.758,190.074,225.752,222.201,225.042,3584.0,0.0,0.994,0.001,0.0,0.0,158.7,6.961,36.6,6.204
D,Top-K,2,408.409,32.462,403.806,378.19,491.148,461.798,485.278,3584.0,0.0,0.994,0.001,0.0,0.0,158.6,8.329,36.0,8.327
D,Top-K,4,827.228,50.364,837.648,727.932,899.08,884.052,896.074,3584.0,0.0,0.994,0.001,0.0,0.0,158.4,7.26,37.2,7.465
D,Top-K,8,1616.845,114.324,1594.152,1386.464,1744.912,1739.3,1743.79,3584.0,0.0,0.994,0.001,0.0,0.0,157.9,6.35,36.8,6.303
D,Top-K,16,3305.474,270.034,3324.352,2782.384,3673.792,3664.295,3671.893,3584.0,0.0,0.995,0.001,0.0,0.0,154.8,5.371,33.3,6.019
E,Intelligent,1,174.615,8.831,175.603,161.057,185.845,185.667,185.809,3584.0,0.0,0.994,0.001,0.0,0.0,152.0,4.472,34.7,3.592
E,Intelligent,2,350.864,27.982,345.905,311.768,393.332,390.556,392.777,3584.0,0.0,0.994,0.001,0.0,0.0,154.5,6.671,35.3,7.987
E,Intelligent,4,736.92,26.685,739.52,695.544,779.7,773.522,778.464,3584.0,0.0,0.994,0.001,0.0,0.0,156.0,3.742,39.2,3.645
E,Intelligent,8,1450.857,75.402,1450.0,1312.12,1586.224,1550.98,1579.175,3584.0,0.0,0.994,0.001,0.0,0.0,154.6,5.168,37.5,6.77
E,Intelligent,16,2845.046,201.079,2813.44,2643.728,3343.552,3162.004,3307.242,3584.0,0.0,0.994,0.001,0.0,0.0,153.8,6.957,35.9,6.935
